Id,SalePrice
1461,127678.516
1462,153381.61
1463,183951.23
1464,195595.6
1465,186256.86
1466,173556.86
1467,187804.17
1468,169681.5
1469,173314.05
1470,120596.53
1471,188781.56
1472,93772.73
1473,100155.625
1474,157164.12
1475,118083.555
1476,385945.7
1477,263211.2
1478,296100.88
1479,289735.3
1480,537850.75
1481,322514.0
1482,206326.28
1483,173862.48
1484,171843.66
1485,166795.8
1486,192744.69
1487,329040.34
1488,243361.14
1489,204237.78
1490,235690.89
1491,187021.69
1492,95984.02
1493,181242.4
1494,295629.94
1495,300223.88
1496,226018.69
1497,194354.05
1498,157216.6
1499,157891.1
1500,154836.45
1501,181714.38
1502,154998.83
1503,295540.84
1504,240089.33
1505,232088.64
1506,181831.39
1507,232551.02
1508,189611.56
1509,157333.42
1510,145967.19
1511,145997.81
1512,162506.64
1513,137733.72
1514,173088.73
1515,205919.77
1516,161466.05
1517,160424.16
1518,133606.25
1519,219785.08
1520,137948.38
1521,140873.22
1522,167040.8
1523,109275.48
1524,121438.33
1525,130804.84
1526,122833.61
1527,103363.4
1528,139311.69
1529,145598.77
1530,174439.8
1531,105668.26
1532,102993.22
1533,139249.39
1534,118033.445
1535,160535.88
1536,123491.37
1537,74462.51
1538,156017.97
1539,172972.58
1540,88441.67
1541,147682.31
1542,139752.02
1543,210019.81
1544,86112.19
1545,114240.58
1546,129882.5
1547,131619.72
1548,132419.69
1549,110580.35
1550,131626.75
1551,125252.83
1552,130950.99
1553,134595.08
1554,112132.3
1555,183853.2
1556,89120.88
1557,107779.1
1558,106539.086
1559,89239.445
1560,149825.83
1561,143084.83
1562,126750.66
1563,119935.55
1564,161384.3
1565,148912.86
1566,248363.2
1567,66501.87
1568,214684.77
1569,126133.984
1570,128139.984
1571,127755.375
1572,136366.19
1573,236673.17
1574,106666.48
1575,204058.3
1576,246407.4
1577,198845.05
1578,138856.47
1579,144876.14
1580,201880.89
1581,137553.73
1582,127052.125
1583,322083.38
1584,225256.27
1585,144434.7
1586,67055.16
1587,98101.24
1588,131893.5
1589,97429.664
1590,127307.32
1591,87293.84
1592,131602.52
1593,130694.234
1594,124705.03
1595,104392.38
1596,239846.28
1597,176200.72
1598,190428.83
1599,170914.02
1600,177049.17
1601,55615.65
1602,107676.78
1603,85538.83
1604,271876.06
1605,239627.47
1606,173509.34
1607,162548.48
1608,214065.72
1609,196248.61
1610,154702.3
1611,134656.97
1612,165767.11
1613,166058.42
1614,121844.59
1615,92417.93
1616,71029.71
1617,98619.6
1618,123969.625
1619,129407.84
1620,167429.14
1621,143704.86
1622,136041.19
1623,272339.56
1624,215421.86
1625,125820.77
1626,156722.89
1627,192423.1
1628,263356.06
1629,179583.12
1630,357256.06
1631,215281.16
1632,238184.56
1633,162232.4
1634,186372.69
1635,180553.22
1636,157799.4
1637,185030.48
1638,198893.4
1639,179645.64
1640,250290.84
1641,172474.12
1642,225056.8
1643,240894.34
1644,236531.47
1645,194996.61
1646,158419.0
1647,159234.64
1648,133085.77
1649,137504.69
1650,125209.12
1651,127888.61
1652,95293.414
1653,94302.56
1654,153544.95
1655,145681.97
1656,149601.95
1657,153880.64
1658,147776.42
1659,122185.305
1660,154141.64
1661,543338.25
1662,431690.38
1663,408708.8
1664,527004.8
1665,323841.75
1666,333863.25
1667,385243.7
1668,355000.97
1669,300810.53
1670,371182.97
1671,273567.16
1672,467787.3
1673,306482.94
1674,258991.61
1675,196754.4
1676,194630.98
1677,222991.28
1678,473407.5
1679,384110.12
1680,329917.3
1681,249536.03
1682,304369.75
1683,184840.38
1684,172808.03
1685,170468.14
1686,172814.95
1687,156661.33
1688,186600.17
1689,187696.02
1690,194206.56
1691,177509.69
1692,250386.34
1693,162524.0
1694,184871.39
1695,162164.03
1696,250511.5
1697,169747.05
1698,399022.97
1699,321427.94
1700,258888.14
1701,279896.8
1702,262025.78
1703,275550.3
1704,309189.7
1705,220783.6
1706,461487.66
1707,215589.77
1708,210302.61
1709,286719.97
1710,227817.66
1711,254461.33
1712,280863.44
1713,284673.5
1714,223074.47
1715,205962.95
1716,192209.97
1717,166140.3
1718,134771.83
1719,196029.2
1720,236519.95
1721,165846.81
1722,127130.06
